score_column	test_ce	test_mae	test_accuracy
psychological_meaning	0.1596797258	0.05757575482	0.9666666389
psychological_mastery	0.05044335127	0.04242423922	0.9818181396
psychological_curiosity	0.3774971962	0.1666666567	0.9060605764
psychological_autonomy	0.2419123948	0.09393939376	0.9393939376
psychological_immersion	0.3453945518	0.1818181723	0.8727272749
functional_progress_feedback	0.2158142477	0.09090908617	0.9333332777
functional_ease_of_control	0.08160766214	0.05454545468	0.9757575393
functional_audiovisual_appeal	0.1717142016	0.07575757056	0.9545454383
functional_goals_and_rules	0.1259968579	0.06969697028	0.9393939376
functional_challenge	0.2198566645	0.05454545468	0.9545454383
