epoch	learning_rate	train_ce	test_ce	test_mae	test_accuracy
1	0.0003	1.278646108	1.140194129	0.6721212121	0.4951515152
2	0.0002999955279	1.066768439	1.117608402	0.6939393939	0.4990909091
3	0.0002999821117	1.041024793	1.116596957	0.6636363636	0.4957575758
4	0.0002999597524	1.026080269	1.097970692	0.6354545455	0.5124242424
5	0.0002999284513	0.9834163883	1.01689442	0.5387878788	0.5518181818
6	0.0002998882103	0.9194825724	0.9719122869	0.5048484848	0.5806060606
7	0.0002998390319	0.8831413732	0.9468854315	0.4839393939	0.5939393939
8	0.0002997809191	0.8604521875	0.9288538337	0.473030303	0.5972727273
9	0.0002997138756	0.8336200917	0.8989426861	0.4527272727	0.6109090909
10	0.0002996379055	0.7941130025	0.8636579479	0.4312121212	0.6448484848
11	0.0002995530134	0.7491000575	0.8218099328	0.3936363636	0.6715151515
12	0.0002994592046	0.7045574849	0.7829988607	0.3793939394	0.693030303
13	0.0002993564849	0.659421561	0.7423017837	0.3424242424	0.7212121212
14	0.0002992448606	0.6128730386	0.7418606475	0.3606060606	0.7215151515
15	0.0002991243385	0.5718635031	0.6745343018	0.2942424242	0.7739393939
16	0.0002989949263	0.510605292	0.6401987712	0.2878787879	0.7842424242
17	0.0002988566317	0.4620484255	0.5959411714	0.2678787879	0.7954545455
18	0.0002987094634	0.4204060329	0.5762717322	0.2621212121	0.8054545455
19	0.0002985534304	0.3830304421	0.5347425519	0.2324242424	0.8290909091
20	0.0002983885423	0.3514506075	0.5165666337	0.2127272727	0.8409090909
21	0.0002982148094	0.3237758145	0.4871795377	0.21	0.8484848485
22	0.0002980322423	0.2992508826	0.4606544726	0.1836363636	0.87
23	0.0002978408523	0.2749021981	0.4423911817	0.1784848485	0.8745454545
24	0.0002976406512	0.2514884837	0.4157305816	0.163030303	0.8884848485
25	0.0002974316514	0.2325852646	0.3946754224	0.163030303	0.8924242424
26	0.0002972138657	0.2110214897	0.3725116522	0.1609090909	0.8957575758
27	0.0002969873075	0.194096138	0.3605128988	0.1509090909	0.9015151515
28	0.000296751991	0.1784770704	0.3468832028	0.1454545455	0.9042424242
29	0.0002965079305	0.164156377	0.3334961122	0.1451515152	0.9072727273
30	0.0002962551411	0.1539568972	0.3232323294	0.1421212121	0.9066666667
31	0.0002959936385	0.1429517369	0.3064640115	0.1296969697	0.9124242424
32	0.0002957234387	0.1315404743	0.3014234693	0.1312121212	0.9127272727
33	0.0002954445584	0.1207621672	0.2820352913	0.1248484848	0.9181818182
34	0.0002951570148	0.1112452781	0.2811993177	0.1203030303	0.9203030303
35	0.0002948608257	0.1034699119	0.2722888785	0.1187878788	0.9215151515
36	0.0002945560093	0.09600613841	0.2691894254	0.1163636364	0.9221212121
37	0.0002942425844	0.0900250371	0.2592220006	0.1154545455	0.9248484848
38	0.0002939205704	0.08358562335	0.2602894084	0.1196969697	0.9209090909
39	0.0002935899871	0.07906335561	0.249839792	0.1087878788	0.9260606061
40	0.000293250855	0.07427033819	0.2458392796	0.106969697	0.9272727273
41	0.0002929031949	0.06915574271	0.2418732383	0.1081818182	0.9290909091
42	0.0002925470282	0.06499181294	0.2433364498	0.1115151515	0.9248484848
43	0.000292182377	0.06137491954	0.2347985239	0.1039393939	0.9293939394
44	0.0002918092638	0.05762240386	0.2301066589	0.1090909091	0.9272727273
45	0.0002914277115	0.05447436932	0.2315934938	0.1033333333	0.9290909091
46	0.0002910377437	0.05219831746	0.2255125705	0.1021212121	0.9327272727
47	0.0002906393845	0.04915035935	0.2252958587	0.1033333333	0.9303030303
48	0.0002902326584	0.04634497385	0.2183823973	0.09909090909	0.9348484848
49	0.0002898175905	0.04405507983	0.2233754383	0.1048484848	0.9296969697
50	0.0002893942064	0.04201069063	0.2214720847	0.1081818182	0.9296969697
51	0.0002889625322	0.03986694601	0.2180939784	0.1018181818	0.9327272727
52	0.0002885225946	0.03809850624	0.2159499197	0.1006060606	0.9336363636
53	0.0002880744207	0.03647808918	0.2161737985	0.1039393939	0.9327272727
54	0.0002876180382	0.03479533131	0.212436824	0.1018181818	0.9327272727
55	0.0002871534751	0.03321356808	0.2147202232	0.1051515152	0.9309090909
56	0.0002866807602	0.03175452678	0.211664253	0.1015151515	0.9321212121
57	0.0002861999226	0.0305717755	0.2092138579	0.1015151515	0.9321212121
58	0.000285710992	0.02929215017	0.2062613886	0.1003030303	0.9333333333
59	0.0002852139985	0.02805847772	0.2108192906	0.1048484848	0.9312121212
60	0.0002847089728	0.02705612704	0.2085803361	0.1027272727	0.9321212121
61	0.000284195946	0.02616008957	0.2070544202	0.1039393939	0.9318181818
62	0.0002836749498	0.02523757095	0.2068981332	0.1042424242	0.9324242424
63	0.0002831460164	0.02415015055	0.2082259808	0.1042424242	0.9318181818
64	0.0002826091783	0.02326986175	0.2043443807	0.103030303	0.9327272727
65	0.0002820644686	0.02253175155	0.2016247189	0.1006060606	0.9345454545
66	0.000281511921	0.02180426512	0.2071852297	0.1045454545	0.93
67	0.0002809515696	0.0212104137	0.2069486398	0.1039393939	0.9327272727
68	0.0002803834489	0.02046843266	0.2017840021	0.1015151515	0.9327272727
69	0.0002798075939	0.01986938866	0.1990462702	0.09393939394	0.9372727273
70	0.0002792240402	0.019328952	0.2032124375	0.09848484848	0.9363636364
71	0.0002786328238	0.01860112827	0.2029643527	0.1018181818	0.9345454545
72	0.0002780339812	0.01797015969	0.2020126759	0.1012121212	0.9333333333
73	0.0002774275492	0.01748763417	0.1992755358	0.09848484848	0.9360606061
74	0.0002768135653	0.01696218222	0.2005283333	0.09909090909	0.9339393939
75	0.0002761920674	0.01643136624	0.200436332	0.09878787879	0.9360606061
76	0.0002755630938	0.01597648303	0.1985909248	0.09757575758	0.9354545455
77	0.0002749266833	0.01552616548	0.1984551031	0.09606060606	0.9360606061
78	0.0002742828751	0.01512645697	0.1990253055	0.0996969697	0.9351515152
79	0.000273631709	0.01471371206	0.1992541411	0.09878787879	0.9363636364
80	0.0002729732252	0.01434015996	0.1991503906	0.1	0.9336363636
81	0.0002723074642	0.01396456487	0.1971750063	0.09757575758	0.9360606061
82	0.0002716344671	0.01358419624	0.1990821191	0.1	0.9342424242
83	0.0002709542755	0.01326427308	0.1997688987	0.1003030303	0.9348484848
84	0.0002702669312	0.01293612391	0.1990504548	0.09909090909	0.9354545455
85	0.0002695724768	0.01261958318	0.1997467596	0.09787878788	0.9357575758
86	0.000268870955	0.01233952703	0.194126069	0.09848484848	0.9366666667
87	0.0002681624091	0.01210481535	0.1974484438	0.09848484848	0.9360606061
88	0.0002674468828	0.01173620463	0.1962826029	0.09787878788	0.9381818182
89	0.0002667244202	0.01143913427	0.197135634	0.1003030303	0.9348484848
90	0.000265995066	0.01118448536	0.1984820279	0.1003030303	0.9354545455
91	0.000265258865	0.01093691533	0.1955841897	0.09727272727	0.9363636364
92	0.0002645158628	0.01068575625	0.1945533937	0.09575757576	0.9381818182
93	0.0002637661051	0.01046171661	0.1959511173	0.1	0.9351515152
94	0.0002630096382	0.01023098975	0.1980338912	0.09818181818	0.936969697
95	0.0002622465088	0.01000937099	0.1972570338	0.09696969697	0.9372727273
96	0.0002614767639	0.009790552792	0.1963257761	0.09727272727	0.9360606061
97	0.000260700451	0.00958273785	0.1965950197	0.09545454545	0.9390909091
98	0.000259917618	0.009378891112	0.1953673669	0.09818181818	0.9366666667
99	0.0002591283132	0.009190325977	0.1980224055	0.09727272727	0.9381818182
100	0.0002583325852	0.009008642366	0.1963431896	0.09727272727	0.9366666667
101	0.0002575304833	0.008823581445	0.1966433022	0.09636363636	0.9384848485
102	0.0002567220567	0.008677685269	0.1955520306	0.09666666667	0.9375757576
103	0.0002559073555	0.008506951188	0.1964295682	0.09636363636	0.936969697
104	0.0002550864298	0.008366264277	0.1946317176	0.09484848485	0.9390909091
105	0.0002542593304	0.00816212659	0.1956073738	0.09848484848	0.9378787879
106	0.0002534261081	0.008018307469	0.1940445039	0.09575757576	0.9387878788
107	0.0002525868145	0.007863625353	0.1942582934	0.09636363636	0.9384848485
108	0.0002517415012	0.007731988885	0.195521735	0.1003030303	0.9363636364
109	0.0002508902205	0.007594548581	0.1966523974	0.09787878788	0.9372727273
110	0.0002500330248	0.007467253966	0.1970180951	0.09636363636	0.9372727273
111	0.000249169967	0.007322010683	0.1969082457	0.09909090909	0.9360606061
112	0.0002483011004	0.007203359759	0.1979203057	0.09909090909	0.9363636364
113	0.0002474264785	0.007074679084	0.1943874197	0.09606060606	0.9396969697
114	0.0002465461553	0.006948288566	0.1953020639	0.09545454545	0.9387878788
115	0.0002456601852	0.006841472819	0.1942787355	0.09666666667	0.9375757576
116	0.0002447686226	0.006738024997	0.1940578068	0.09606060606	0.9387878788
117	0.0002438715228	0.006615569588	0.1969395817	0.1	0.9363636364
118	0.0002429689409	0.006498243786	0.1950873173	0.09606060606	0.9378787879
119	0.0002420609327	0.006414473135	0.1956833672	0.09727272727	0.9378787879
120	0.0002411475541	0.006299168614	0.193355343	0.09545454545	0.9393939394
121	0.0002402288616	0.006188455709	0.1948876028	0.1015151515	0.9366666667
122	0.0002393049117	0.006102687752	0.1919949341	0.09515151515	0.9390909091
123	0.0002383757615	0.00600430082	0.1946050794	0.09757575758	0.9381818182
124	0.0002374414684	0.00591975378	0.1963649542	0.0996969697	0.9372727273
125	0.0002365020898	0.005818816896	0.1961149458	0.09727272727	0.9387878788
126	0.0002355576838	0.005745428595	0.1944366825	0.09666666667	0.9378787879
127	0.0002346083086	0.005639408715	0.1941686087	0.09757575758	0.9387878788
128	0.0002336540228	0.005553736746	0.1956005813	0.09848484848	0.9381818182
129	0.0002326948853	0.005477071906	0.1972942653	0.09909090909	0.936969697
130	0.0002317309551	0.005391295222	0.194221307	0.09424242424	0.9409090909
131	0.0002307622919	0.00530784834	0.1965928789	0.09878787879	0.9375757576
132	0.0002297889553	0.005246969665	0.1952271618	0.09575757576	0.9390909091
133	0.0002288110053	0.005164011288	0.1963459963	0.09878787879	0.9381818182
134	0.0002278285023	0.005103471926	0.196736404	0.09727272727	0.9384848485
135	0.0002268415069	0.005033585021	0.1941808573	0.09727272727	0.9390909091
136	0.00022585008	0.004959627459	0.1963051906	0.09878787879	0.9375757576
137	0.0002248542827	0.004888683289	0.1950095391	0.09757575758	0.9393939394
138	0.0002238541765	0.004820350457	0.1939830479	0.09575757576	0.9384848485
139	0.0002228498231	0.004754860578	0.1964619076	0.09939393939	0.9375757576
140	0.0002218412843	0.004688485075	0.1967611972	0.09727272727	0.9378787879
141	0.0002208286225	0.004632196001	0.1944788014	0.0996969697	0.9378787879
142	0.0002198119	0.004571968055	0.1943973379	0.09484848485	0.94
143	0.0002187911796	0.00450877826	0.1951995017	0.09787878788	0.9384848485
144	0.0002177665243	0.004450212476	0.1962878372	0.1003030303	0.9372727273
145	0.0002167379973	0.004385667541	0.1961560197	0.09757575758	0.9390909091
146	0.0002157056619	0.004336221776	0.1963032393	0.09666666667	0.9381818182
147	0.000214669582	0.004288668571	0.1955128895	0.09696969697	0.9396969697
148	0.0002136298214	0.004240847029	0.1964099214	0.09636363636	0.9393939394
149	0.0002125864441	0.004183195108	0.1948741659	0.09727272727	0.9396969697
150	0.0002115395147	0.004133431049	0.194702486	0.09727272727	0.9396969697
151	0.0002104890977	0.004085249336	0.1966833265	0.09878787879	0.9375757576
152	0.0002094352578	0.004040578726	0.1966045172	0.09787878788	0.9387878788
153	0.0002083780601	0.003986429344	0.1948641413	0.09424242424	0.9409090909
154	0.0002073175698	0.003939991875	0.1959387161	0.09666666667	0.9390909091
155	0.0002062538523	0.003891412607	0.1939622266	0.09454545455	0.9406060606
156	0.0002051869733	0.003844802993	0.1965899196	0.09696969697	0.9387878788
157	0.0002041169984	0.003795836536	0.1958211772	0.09757575758	0.9393939394
158	0.0002030439938	0.003749067307	0.1954335808	0.09666666667	0.9393939394
159	0.0002019680256	0.003711078699	0.1952173591	0.09545454545	0.9393939394
160	0.0002008891602	0.003670149622	0.1965570808	0.09696969697	0.9393939394
161	0.0001998074642	0.003631044192	0.1963101844	0.09696969697	0.9384848485
162	0.0001987230042	0.00358718454	0.1955531404	0.09696969697	0.9390909091
163	0.0001976358472	0.003553522842	0.1941897306	0.09484848485	0.9393939394
164	0.0001965460601	0.003518325168	0.1960118149	0.09757575758	0.9384848485
165	0.0001954537104	0.003478613624	0.1963345707	0.09666666667	0.94
166	0.0001943588652	0.003442318164	0.1954594653	0.09424242424	0.9406060606
167	0.0001932615922	0.003404779005	0.1963607141	0.09787878788	0.9384848485
168	0.0001921619591	0.003371792433	0.1961227001	0.09636363636	0.9396969697
169	0.0001910600336	0.003328454504	0.1971614028	0.0996969697	0.9375757576
170	0.0001899558838	0.003294762568	0.1952780244	0.09515151515	0.9396969697
171	0.0001888495778	0.00326315546	0.1967644755	0.09636363636	0.9390909091
172	0.0001877411837	0.003235289131	0.1959308879	0.09545454545	0.9387878788
173	0.00018663077	0.003205639129	0.1952653642	0.09545454545	0.94
174	0.0001855184052	0.003177035687	0.1969402706	0.09636363636	0.9390909091
175	0.0001844041578	0.003140421127	0.1966073516	0.09575757576	0.94
176	0.0001832880967	0.003110602867	0.1968212336	0.09606060606	0.9393939394
177	0.0001821702906	0.003078526762	0.1969101969	0.09575757576	0.9387878788
178	0.0001810508085	0.003048180305	0.1964969103	0.09545454545	0.94
179	0.0001799297195	0.00301309782	0.1968673706	0.09636363636	0.9390909091
180	0.0001788070928	0.002988994928	0.1971389031	0.09545454545	0.9396969697
181	0.0001776829974	0.002960836458	0.1958213899	0.09545454545	0.9396969697
182	0.0001765575029	0.002931803937	0.1969050691	0.09727272727	0.9393939394
183	0.0001754306786	0.002906553738	0.1964350059	0.09454545455	0.9396969697
184	0.0001743025941	0.002879178254	0.1969950358	0.09575757576	0.9390909091
185	0.0001731733189	0.002854318013	0.1955909868	0.09515151515	0.9403030303
186	0.0001720429226	0.00282891848	0.1966252044	0.09393939394	0.9403030303
187	0.0001709114751	0.002799225052	0.1965943308	0.09696969697	0.9393939394
188	0.0001697790461	0.00277727823	0.1957592588	0.09424242424	0.94
189	0.0001686457054	0.002755183739	0.1984251034	0.09636363636	0.9387878788
190	0.000167511523	0.002728954135	0.1965502236	0.09303030303	0.9403030303
