epoch	learning_rate	train_ce	test_ce	test_mae	test_accuracy
1	0.0003	1.278646108	1.140194129	0.6721212121	0.4951515152
2	0.0002999999205	1.06676832	1.117608328	0.6939393939	0.4990909091
3	0.000299999682	1.041024393	1.11659742	0.6636363636	0.4957575758
4	0.0002999992845	1.026078859	1.097968713	0.6354545455	0.5124242424
5	0.0002999987279	0.983408121	1.016856135	0.5390909091	0.5515151515
6	0.0002999980124	0.9194750263	0.9719308194	0.5051515152	0.5803030303
7	0.0002999971378	0.8831502864	0.9468089896	0.4827272727	0.5951515152
8	0.0002999961043	0.8604135281	0.9288704612	0.4733333333	0.596969697
9	0.0002999949117	0.8335395158	0.8988528165	0.4527272727	0.6106060606
10	0.0002999935601	0.7940694106	0.8634556811	0.4312121212	0.6448484848
11	0.0002999920496	0.7490409866	0.8217938972	0.3936363636	0.6715151515
12	0.00029999038	0.7045825919	0.7830072946	0.3803030303	0.6921212121
13	0.0002999885514	0.6592623739	0.7422650146	0.3418181818	0.7215151515
14	0.0002999865638	0.6125800096	0.7417091878	0.3596969697	0.7218181818
15	0.0002999844173	0.571285559	0.6738220955	0.2936363636	0.7745454545
16	0.0002999821117	0.5101227121	0.6395283092	0.2872727273	0.7848484848
17	0.0002999796472	0.4617026356	0.5954686205	0.2663636364	0.7966666667
18	0.0002999770236	0.4199841642	0.5751672641	0.2624242424	0.8045454545
19	0.0002999742411	0.3824468364	0.533787028	0.2339393939	0.8287878788
20	0.0002999712996	0.3508756888	0.5155361476	0.2136363636	0.8418181818
21	0.0002999681991	0.3229733337	0.4856306689	0.2090909091	0.8496969697
22	0.0002999649396	0.2981539054	0.4586024799	0.183030303	0.8712121212
23	0.0002999615212	0.2736282456	0.4408990756	0.1775757576	0.8745454545
24	0.0002999579438	0.2503494091	0.4154683339	0.1639393939	0.8878787879
25	0.0002999542074	0.2315007985	0.3937876014	0.1615151515	0.8927272727
26	0.0002999503121	0.2101689191	0.3715031664	0.1615151515	0.8960606061
27	0.0002999462578	0.1933775118	0.3592913079	0.1493939394	0.9021212121
28	0.0002999420446	0.1775391997	0.3456874593	0.1445454545	0.9039393939
29	0.0002999376724	0.1629867127	0.3321609405	0.1451515152	0.9075757576
30	0.0002999331413	0.1527661714	0.3213171572	0.1424242424	0.9072727273
31	0.0002999284513	0.1416656576	0.30463679	0.1303030303	0.9127272727
32	0.0002999236023	0.1304772904	0.2995735538	0.1290909091	0.9139393939
33	0.0002999185943	0.1196238199	0.280991419	0.1233333333	0.9193939394
34	0.0002999134275	0.1100879581	0.2803300754	0.1203030303	0.9203030303
35	0.0002999081018	0.1023652747	0.2715544128	0.1196969697	0.9206060606
36	0.0002999026171	0.09488537326	0.2685502486	0.116969697	0.9215151515
37	0.0002998969735	0.08894998156	0.2576999919	0.1142424242	0.9251515152
38	0.0002998911711	0.08249014543	0.2591379986	0.1187878788	0.9212121212
39	0.0002998852097	0.0779328865	0.2487235237	0.1084848485	0.9263636364
40	0.0002998790895	0.07310985319	0.2450747033	0.1072727273	0.9275757576
41	0.0002998728104	0.06799870053	0.2403488622	0.1060606061	0.93
42	0.0002998663724	0.06382861206	0.2423200341	0.1103030303	0.9254545455
43	0.0002998597755	0.06026099838	0.2339716593	0.1027272727	0.9303030303
44	0.0002998530198	0.05657914864	0.2294922569	0.1081818182	0.9278787879
45	0.0002998461053	0.05334254588	0.2308225551	0.1033333333	0.9296969697
46	0.0002998390319	0.0511242074	0.2241514634	0.1006060606	0.9336363636
47	0.0002998317996	0.04805954053	0.2245713899	0.1021212121	0.9315151515
48	0.0002998244086	0.04523115976	0.2176970187	0.0996969697	0.9342424242
49	0.0002998168587	0.04293034874	0.2222025091	0.1045454545	0.9303030303
50	0.00029980915	0.04092600081	0.2205482992	0.1081818182	0.9306060606
51	0.0002998012825	0.03884780104	0.216843049	0.0996969697	0.9339393939
52	0.0002997932563	0.03709909827	0.2149127706	0.1009090909	0.9333333333
53	0.0002997850712	0.035467223	0.2152835037	0.1048484848	0.9321212121
54	0.0002997767274	0.03383583551	0.2109536142	0.1024242424	0.9324242424
55	0.0002997682248	0.03226735547	0.2141845564	0.1045454545	0.9309090909
56	0.0002997595634	0.03080866697	0.2110833417	0.1024242424	0.9315151515
57	0.0002997507433	0.02962673752	0.2083115364	0.1009090909	0.9324242424
58	0.0002997417645	0.0283708158	0.2052064838	0.09939393939	0.9342424242
59	0.0002997326269	0.02715404071	0.2099002954	0.1036363636	0.9318181818
60	0.0002997233306	0.02615102849	0.2077921642	0.1018181818	0.9327272727
61	0.0002997138756	0.02524107471	0.2057354135	0.1036363636	0.9321212121
62	0.0002997042619	0.02432370809	0.2055808929	0.1024242424	0.933030303
63	0.0002996944896	0.02326723454	0.2071039512	0.1033333333	0.9324242424
64	0.0002996845585	0.02238575614	0.203425686	0.1015151515	0.9339393939
65	0.0002996744688	0.02167183386	0.2010530553	0.1012121212	0.9342424242
66	0.0002996642204	0.02093351033	0.2071073729	0.1045454545	0.9293939394
67	0.0002996538134	0.02034657931	0.2071303674	0.103030303	0.933030303
68	0.0002996432478	0.01961851672	0.2005074148	0.1003030303	0.9333333333
69	0.0002996325235	0.01902592769	0.1986394431	0.09424242424	0.9375757576
70	0.0002996216407	0.01849177958	0.203435017	0.09878787879	0.9360606061
71	0.0002996105992	0.0177888699	0.2027860607	0.1024242424	0.9339393939
72	0.0002995993992	0.01720812412	0.2006247272	0.0996969697	0.9345454545
73	0.0002995880405	0.0166989344	0.1981068744	0.09666666667	0.9372727273
74	0.0002995765234	0.01619965626	0.1998216571	0.09909090909	0.9339393939
75	0.0002995648476	0.01566485308	0.200553538	0.09939393939	0.9357575758
76	0.0002995530134	0.01518622278	0.198806439	0.09636363636	0.9357575758
77	0.0002995410206	0.01473473133	0.1973523134	0.09424242424	0.9372727273
78	0.0002995288693	0.01434608517	0.1979673027	0.09757575758	0.9357575758
79	0.0002995165596	0.01394085396	0.1989889018	0.1006060606	0.9357575758
80	0.0002995040913	0.0135601997	0.2002778672	0.0996969697	0.9336363636
81	0.0002994914646	0.01320674755	0.1967700057	0.09757575758	0.9360606061
82	0.0002994786794	0.0128172064	0.1982093857	0.09696969697	0.9354545455
83	0.0002994657358	0.01249808881	0.1988394396	0.09939393939	0.9354545455
84	0.0002994526338	0.01217442619	0.1989111189	0.09939393939	0.9354545455
